collector_number,name,types,domain,description,alt_text,paraphrase,implementation_status,issues_or_mismatches,rbexp_refs
OGN-294/298,Trifarian War Camp,battlefield,colorless,Units here have +1 [S]. (This includes attackers.),Riftbound Battlefield: Trifarian War Camp. Units here have +1 [S]. (This includes attackers.),Units here have +1 [S]. (This includes attackers.),FULL,,Full_Card_Audit.json
SFD-221/221,Veiled Temple,battlefield,colorless,"When you conquer here, you may ready a friendly gear. If it's an Equipment, you may detach it.","Riftbound Battlefield: Veiled Temple. When you conquer here, you may ready a friendly gear. If it's an Equipment, you may detach it.","On conquer here, Optional: ready a friendly gear. If it's an Equipment, Optional: detach it.",PARTIAL,Flags: CONDITIONAL_GENERAL,problems.json
OGN-295/298,Vilemaw's Lair,battlefield,colorless,Units can't move from here to base.,Riftbound Battlefield: Vilemaw's Lair. Units can't move from here to base.,Units can't move from here to base.,UNSUPPORTED,Flags: MOVE_EFFECT_NOT_SUPPORTED,Full_Card_Audit.json
OGN-296/298,Void Gate,battlefield,colorless,Spells and abilities affecting units here each deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Riftbound Battlefield: Void Gate. Spells and abilities affecting units here each deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Spells and abilities affecting units here each deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),FULL,,Full_Card_Audit.json
OGN-297/298,Windswept Hillock,battlefield,colorless,Units here have [Ganking]. (They can move from battlefield to battlefield.),Riftbound Battlefield: Windswept Hillock. Units here have [Ganking]. (They can move from battlefield to battlefield.),Units here have [Ganking]. (They can move from battlefield to battlefield.),UNSUPPORTED,Flags: KEYWORD_UNSUPPORTED: Ganking,Full_Card_Audit.json
OGN-298/298,Zaun Warrens,battlefield,colorless,"When you conquer here, discard 1, then draw 1.","Riftbound Battlefield: Zaun Warrens. When you conquer here, discard 1, then draw 1.","On conquer here, discard 1, then draw 1.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you conquer here,Full_Card_Audit.json
SFD-169/221,Altar of Memories,gear,order,"When a friendly unit dies, you may exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.","Riftbound Gear: Altar of Memories. When a friendly unit dies, you may exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.","When a friendly unit dies, Optional: exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When a friendly unit dies,problems.json
SFD-117/221,Ancient Henge,gear,body,[T]: [Reaction] — Pay any amount of Energy to [Add] that much [A].  (Abilities that add resources can't be reacted to.),Riftbound Gear: Ancient Henge. [T]: [Reaction] — Pay any amount of Energy to [Add] that much [A]. (Abilities that add resources can't be reacted to.),[T]: [Reaction] — Pay any amount of Energy to [Add] that much [A]. (Abilities that add resources can't be reacted to.),UNKNOWN,,
OGN-124/298,Arena Bar,gear,body,"[T]: Buff an exhausted friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Gear: Arena Bar. [T]: Buff an exhausted friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)","[T]: Buff an exhausted friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)",PARTIAL,Flags: CONDITIONAL_GENERAL,problems.json
SFD-019/221,Assembly Rig,gear,fury,"\[1]\[C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.","Riftbound Gear: Assembly Rig. [1][C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.","\[1]\[C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.",UNKNOWN,,
SFD-161/221,B.F. Sword,gear,order,[Equip] [C] ([C]: Attach this to a unit you control.),Riftbound Gear: B.F. Sword. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
OGN-242/298,Baited Hook,gear,order,"\[1]\[C], [T]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. You may play a unit from among them that has Might up to 1 more than the killed unit, ignoring its cost. Then recycle the rest.","Riftbound Gear: Baited Hook. [1][C], [T]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. You may play a unit from among them that has Might up to 1 more than the killed unit, ignoring its cost. Then recycle the rest.","\[1]\[C], [T]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. Optional: play a unit from among them that has Might up to 1 more than the killed unit, ignoring its cost. Then recycle the rest.",FULL,,Full_Card_Audit.json
SFD-178/221,Blade of the Ruined King,gear,order,"[Equip] — [C], Kill a friendly unit  (Pay the cost: Attach this to a unit you control.)","Riftbound Gear: Blade of the Ruined King. [Equip] — [C], Kill a friendly unit (Pay the cost: Attach this to a unit you control.)","[Equip] — [C], Kill a friendly unit (Pay the cost: Attach this to a unit you control.)",UNKNOWN,,
SFD-118/221,Boneshiver,gear,body,[Equip] \[1]\[C]  (\[1]\[C]: Attach this to a unit you control.),Riftbound Gear: Boneshiver. [Equip] [1][C] ([1][C]: Attach this to a unit you control.),[Equip] \[1]\[C] (\[1]\[C]: Attach this to a unit you control.),UNKNOWN,,
SFD-133/221,Boots of Swiftness,gear,chaos,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Boots of Swiftness. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-042/221,Brutalizer,gear,calm,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Brutalizer. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-063/221,Chemtech Cask,gear,mind,"When you play a spell on an opponent's turn, you may exhaust me to play a Gold gear token exhausted.","Riftbound Gear: Chemtech Cask. When you play a spell on an opponent's turn, you may exhaust me to play a Gold gear token exhausted.","When you play a spell on an opponent's turn, Optional: exhaust me to play a Gold gear token exhausted.",UNSUPPORTED,Flags: TRIGGER_UNSUPPORTED: When you play a spell on an opponent's turn,problems.json
SFD-064/221,Cloth Armor,gear,mind,"[Quick-Draw]  (This has [Reaction]. When you play it, attach it to a unit you control.) 
[Equip] [C]  ([C]: Attach this to a unit you control.)","Riftbound Gear: Cloth Armor. [Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)
[Equip] [C] ([C]: Attach this to a unit you control.)","[Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.) [Equip] [C] ([C]: Attach this to a unit you control.)",UNKNOWN,,
SFD-134/221,Cull,gear,chaos,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Cull. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
OGN-160/298,Dazzling Aurora,gear,body,"At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.","Riftbound Gear: Dazzling Aurora. At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.","At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.",UNSUPPORTED,"Flags: TRIGGER_UNSUPPORTED: At the end of your turn, REVEAL_NOT_SUPPORTED",Full_Card_Audit.json
SFD-095/221,Doran's Blade,gear,body,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Doran's Blade. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-124/221,Doran's Ring,gear,chaos,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Doran's Ring. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-033/221,Doran's Shield,gear,calm,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Doran's Shield. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-139/221,Edge of Night,gear,chaos,"[Hidden]  (Hide now for [A] to react with later for [0].) 
When you play this from face down, attach it to a unit you control here.
[Equip] [C]  ([C]: Attach this to a unit you control.)","Riftbound Gear: Edge of Night. [Hidden] (Hide now for [A] to react with later for [0].)
When you play this from face down, attach it to a unit you control here.
[Equip] [C] ([C]: Attach this to a unit you control.)","[Hidden] (Hide now for [A] to react with later for [0].) On play from face down, attach it to a unit you control here. [Equip] [C] ([C]: Attach this to a unit you control.)",UNKNOWN,,
OGN-098/298,Energy Conduit,gear,mind,[T]: [Reaction] — [Add] [1]. (Abilities that add resources can't be reacted to.),Riftbound Gear: Energy Conduit. [T]: [Reaction] — [Add] [1]. (Abilities that add resources can't be reacted to.),[T]: [Reaction] — [Add] [1]. (Abilities that add resources can't be reacted to.),UNSUPPORTED,"Flags: KEYWORD_UNSUPPORTED: Reaction, KEYWORD_UNSUPPORTED: Add",Full_Card_Audit.json
SFD-073/221,Experimental Hexplate,gear,mind,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Experimental Hexplate. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-153/221,Eye of the Herald,gear,order,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Eye of the Herald. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
OGN-212/298,Forge of the Future,gear,order,"When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.","Riftbound Gear: Forge of the Future. When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.","On play, play a 1 [S] Recruit unit token at your base. Kill this: Recycle up to 4 cards from trashes.",FULL,,Full_Card_Audit.json
SFD-190/221,Forgefire Cape,gear,"calm, mind","[Unique]** ** (Your deck can have only 1 card with this name.) 
[Equip] [C]  ([C]: Attach this to a unit you control.)",Riftbound Gear: Forgefire Cape. [Unique] (Your deck can have only 1 card with this name.)[Equip] [C] ([C]: Attach this to a unit you control.),[Unique]** ** (Your deck can have only 1 card with this name.) [Equip] [C] ([C]: Attach this to a unit you control.),UNSUPPORTED,Flags: KEYWORD_UNSUPPORTED: Unique,problems.json
OGN-099/298,Garbage Grabber,gear,mind,"Recycle 3 from your trash, [1], [T]: Draw 1.","Riftbound Gear: Garbage Grabber. Recycle 3 from your trash, [1], [T]: Draw 1.","Recycle 3 from your trash, [1], [T]: Draw 1.",FULL,,Full_Card_Audit.json
SFD-T03,Gold,gear,colorless,"Kill this, [T]: [Reaction] — [Add] [A].  (Abilities that add resources can't be reacted to.)","Riftbound Gear: Gold. Kill this, [T]: [Reaction] — [Add] [A]. (Abilities that add resources can't be reacted to.)","Kill this, [T]: [Reaction] — [Add] [A]. (Abilities that add resources can't be reacted to.)",UNKNOWN,,
SFD-051/221,Guardian Angel,gear,calm,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Guardian Angel. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-052/221,Heart of Dark Ice,gear,calm,[T]: Give a unit +3 [S] this turn.,Riftbound Gear: Heart of Dark Ice. [T]: Give a unit +3 [S] this turn.,[T]: Give a unit +3 [S] this turn.,UNKNOWN,,
SFD-102/221,Hexdrinker,gear,body,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Hexdrinker. [Equip] [C] ([C]: Attach this to a unit you control.),[Equip] [C] ([C]: Attach this to a unit you control.),UNKNOWN,,
SFD-083/221,Hextech Anomaly,gear,mind,[T]: [Reaction] — Pay any amount of [A] to [Add] that much Energy.  (Abilities that add resources can't be reacted to.),Riftbound Gear: Hextech Anomaly. [T]: [Reaction] — Pay any amount of [A] to [Add] that much Energy. (Abilities that add resources can't be reacted to.),[T]: [Reaction] — Pay any amount of [A] to [Add] that much Energy. (Abilities that add resources can't be reacted to.),UNKNOWN,,
OGN-017/298,Iron Ballista,gear,fury,"This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.","Riftbound Gear: Iron Ballista. This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.",This enters exhausted. [T]: Deal 2 to a unit at a battlefield.,FULL,,Full_Card_Audit.json
SFD-150/221,Last Rites,gear,chaos,"[Equip] — [C], Recycle 2 cards from your trash  (Pay the cost:** **Attach this to a unit you control.)","Riftbound Gear: Last Rites. [Equip] — [C], Recycle 2 cards from your trash (Pay the cost: Attach this to a unit you control.)","[Equip] — [C], Recycle 2 cards from your trash (Pay the cost:** **Attach this to a unit you control.)",UNKNOWN,,
SFD-022/221,Long Sword,gear,fury,"[Quick-Draw]  (This has [Reaction]. When you play it, attach it to a unit you control.) 
[Equip] [C]  ([C]: Attach this to a unit you control.)","Riftbound Gear: Long Sword. [Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)
[Equip] [C] ([C]: Attach this to a unit you control.)","[Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.) [Equip] [C] ([C]: Attach this to a unit you control.)",UNKNOWN,,
OGN-060/298,Mask of Foresight,gear,calm,"When a friendly unit attacks or defends alone, give it +1 [S] this turn.","Riftbound Gear: Mask of Foresight. When a friendly unit attacks or defends alone, give it +1 [S] this turn.","When a friendly unit attacks or defends alone, give it +1 [S] this turn.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When a friendly unit attacks or defends alone,Full_Card_Audit.json
OGN-152/298,Mistfall,gear,body,"When you buff a friendly unit, you may pay [C] and exhaust this to ready it.","Riftbound Gear: Mistfall. When you buff a friendly unit, you may pay [C] and exhaust this to ready it.","When you buff a friendly unit, Optional: pay [C] and exhaust this to ready it.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you buff a friendly unit,Full_Card_Audit.json
OGN-101/298,Mushroom Pouch,gear,mind,"At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.","Riftbound Gear: Mushroom Pouch. At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.","At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.",PARTIAL,"Flags: TRIGGER_UNSUPPORTED: At the start of your Beginning Phase, CONDITIONAL_GENERAL",Full_Card_Audit.json
OGN-090/298,Orb of Regret,gear,mind,"[T]: Give a unit -1 [S] this turn, to a minimum of 1 [S].","Riftbound Gear: Orb of Regret. [T]: Give a unit -1 [S] this turn, to a minimum of 1 [S].","[T]: Give a unit -1 [S] this turn, to a minimum of 1 [S].",FULL,,Full_Card_Audit.json
OGN-181/298,Pack of Wonders,gear,chaos,"[T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.","Riftbound Gear: Pack of Wonders. [T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.","[T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.",FULL,,Full_Card_Audit.json
SFD-104/221,Petricite Monument,gear,body,"[Temporary]  (Kill this at the start of its controller's Beginning Phase, before scoring.) 
Friendly units have [Deflect].  (Opponents must pay [A] to choose them with a spell or ability.)","Riftbound Gear: Petricite Monument. [Temporary] (Kill this at the start of its controller's Beginning Phase, before scoring.)
Friendly units have [Deflect]. (Opponents must pay [A] to choose them with a spell or ability.)","[Temporary] (Kill this at the start of its controller's Beginning Phase, before scoring.) Friendly units have [Deflect]. (Opponents must pay [A] to choose them with a spell or ability.)",UNKNOWN,,
OGN-143/298,Pirate's Haven,gear,body,"When you ready a friendly unit, give it +1 [S] this turn.","Riftbound Gear: Pirate's Haven. When you ready a friendly unit, give it +1 [S] this turn.","When you ready a friendly unit, give it +1 [S] this turn.",PARTIAL,Flags: TRIGGER_UNSUPPORTED: When you ready a friendly unit,Full_Card_Audit.json
SFD-046/221,Poro Snax,gear,calm,"When you play this, draw 1.
\[1]\[C], [T], Kill this: Draw 1.","Riftbound Gear: Poro Snax. When you play this, draw 1.
[1][C], [T], Kill this: Draw 1.","On play, draw 1. \[1]\[C], [T], Kill this: Draw 1.",UNKNOWN,,
SFD-191/221,Rabadon's Deathcrown,gear,"calm, mind",[Unique]** ** (Your deck can have only 1 card with this name.)  [Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Rabadon's Deathcrown. [Unique] (Your deck can have only 1 card with this name.) [Equip] [C] ([C]: Attach this to a unit you control.),[Unique]** ** (Your deck can have only 1 card with this name.) [Equip] [C] ([C]: Attach this to a unit you control.),UNSUPPORTED,Flags: KEYWORD_UNSUPPORTED: Unique,problems.json
OGN-032/298,Ravenborn Tome,gear,fury,[T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Riftbound Gear: Ravenborn Tome. [T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),[T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),FULL,,Full_Card_Audit.json
