Name,Collector Number,Card Link,Rarity,Domain 1,Domain 2,types,Subtype 1,Subtype 2,Subtype 3,Subtype 4,Subtype 5,supertypes,cmc,Energy,Power,Total Cost,Might,Description,ALT TEXT,Tags
Hallowed Tomb,OGN-281/298,https://riftdecks.com/cards/details-hallowed-tomb,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, you may return your Chosen Champion from your trash to your Champion Zone if it is empty.","Riftbound Battlefield: Hallowed Tomb. When you hold here, you may return your Chosen Champion from your trash to your Champion Zone if it is empty.",
Marai Spire,SFD-211/221,https://riftdecks.com/cards/details-marai-spire,uncommon,colorless,,battlefield,,,,,,,,,,-,,"While you control this battlefield, friendly [Repeat] costs cost [1] less.","Riftbound Battlefield: Marai Spire. While you control this battlefield, friendly [Repeat] costs cost [1] less.",
Minefield,SFD-212/221,https://riftdecks.com/cards/details-minefield,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, put the top 2 cards of your Main Deck into your trash.","Riftbound Battlefield: Minefield. When you conquer here, put the top 2 cards of your Main Deck into your trash.",
Monastery of Hirana,OGN-282/298,https://riftdecks.com/cards/details-monastery-of-hirana,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, you may spend a buff to draw 1.","Riftbound Battlefield: Monastery of Hirana. When you conquer here, you may spend a buff to draw 1.",
Navori Fighting Pit,OGN-283/298,https://riftdecks.com/cards/details-navori-fighting-pit,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, buff a unit here. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Battlefield: Navori Fighting Pit. When you hold here, buff a unit here. (If it doesn't have a buff, it gets a +1 [S] buff.)",
Obelisk of Power,OGN-284/298,https://riftdecks.com/cards/details-obelisk-of-power,uncommon,colorless,,battlefield,,,,,,,,,,-,,"At the start of each player's first Beginning Phase, that player channels 1 rune.","Riftbound Battlefield: Obelisk of Power. At the start of each player's first Beginning Phase, that player channels 1 rune.",
Ornn's Forge,SFD-213/221,https://riftdecks.com/cards/details-ornns-forge,uncommon,colorless,,battlefield,,,,,,,,,,-,,"While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.","Riftbound Battlefield: Ornn's Forge. While you control this battlefield, the first friendly non-token gear played each turn costs [1] less.",
Power Nexus,SFD-214/221,https://riftdecks.com/cards/details-power-nexus,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, you may pay \[A]\[A]\[A]\[A] to score 1 point.","Riftbound Battlefield: Power Nexus. When you hold here, you may pay [A][A][A][A] to score 1 point.",
Ravenbloom Conservatory,SFD-215/221,https://riftdecks.com/cards/details-ravenbloom-conservatory,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.","Riftbound Battlefield: Ravenbloom Conservatory. When you defend here, reveal the top card of your Main Deck. If it's a spell, put it in your hand. Otherwise, recycle it.",
Reaver's Row,OGN-285/298,https://riftdecks.com/cards/details-reavers-row,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you defend here, you may move a friendly unit here to base.","Riftbound Battlefield: Reaver's Row. When you defend here, you may move a friendly unit here to base.",
Reckoner's Arena,OGN-286/298,https://riftdecks.com/cards/details-reckoners-arena,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, activate the conquer effects of units here.","Riftbound Battlefield: Reckoner's Arena. When you hold here, activate the conquer effects of units here.",
Rockfall Path,SFD-216/221,https://riftdecks.com/cards/details-rockfall-path,uncommon,colorless,,battlefield,,,,,,,,,,-,,Units can't be played here.,Riftbound Battlefield: Rockfall Path. Units can't be played here.,
Seat of Power,SFD-217/221,https://riftdecks.com/cards/details-seat-of-power,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, draw 1 for each other battlefield you or allies control.","Riftbound Battlefield: Seat of Power. When you conquer here, draw 1 for each other battlefield you or allies control.",
Sigil of the Storm,OGN-287/298,https://riftdecks.com/cards/details-sigil-of-the-storm,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, recycle one of your runes.","Riftbound Battlefield: Sigil of the Storm. When you conquer here, recycle one of your runes.",
Startipped Peak,OGN-288/298,https://riftdecks.com/cards/details-startipped-peak,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, you may channel 1 rune exhausted.","Riftbound Battlefield: Startipped Peak. When you hold here, you may channel 1 rune exhausted.",
Sunken Temple,SFD-218/221,https://riftdecks.com/cards/details-sunken-temple,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here with one or more [Mighty] units, you may pay [1] to draw 1.  (A unit is Mighty while it has 5+ [S].) ","Riftbound Battlefield: Sunken Temple. When you conquer here with one or more [Mighty] units, you may pay [1] to draw 1. (A unit is Mighty while it has 5+ [S].)",
Targon's Peak,OGN-289/298,https://riftdecks.com/cards/details-targons-peak,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, ready 2 runes at the end of this turn.","Riftbound Battlefield: Targon's Peak. When you conquer here, ready 2 runes at the end of this turn.",
The Arena's Greatest,OGN-290/298,https://riftdecks.com/cards/details-the-arenas-greatest,uncommon,colorless,,battlefield,,,,,,,,,,-,,"At the start of each player's first Beginning Phase, that player gains 1 point.","Riftbound Battlefield: The Arena's Greatest. At the start of each player's first Beginning Phase, that player gains 1 point.",
The Candlelit Sanctum,OGN-291/298,https://riftdecks.com/cards/details-the-candlelit-sanctum,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, look at the top two cards of your Main Deck. You may recycle one or both of them. Put those you don't back in any order.","Riftbound Battlefield: The Candlelit Sanctum. When you conquer here, look at the top two cards of your Main Deck. You may recycle one or both of them. Put those you don't back in any order.",
The Dreaming Tree,OGN-292/298,https://riftdecks.com/cards/details-the-dreaming-tree,uncommon,colorless,,battlefield,,,,,,,,,,-,,"The first time you choose a friendly unit with a spell here each turn, draw 1.","Riftbound Battlefield: The Dreaming Tree. The first time you choose a friendly unit with a spell here each turn, draw 1.",
The Grand Plaza,OGN-293/298,https://riftdecks.com/cards/details-the-grand-plaza,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, if you have 7+ units here, you win the game.","Riftbound Battlefield: The Grand Plaza. When you hold here, if you have 7+ units here, you win the game.",
The Papertree,SFD-219/221,https://riftdecks.com/cards/details-the-papertree,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you hold here, each player channels 1 rune exhausted.","Riftbound Battlefield: The Papertree. When you hold here, each player channels 1 rune exhausted.",
Treasure Hoard,SFD-220/221,https://riftdecks.com/cards/details-treasure-hoard,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, you may pay [1] to play a Gold gear token exhausted.","Riftbound Battlefield: Treasure Hoard. When you conquer here, you may pay [1] to play a Gold gear token exhausted.",
Trifarian War Camp,OGN-294/298,https://riftdecks.com/cards/details-trifarian-war-camp,uncommon,colorless,,battlefield,,,,,,,,,,-,,Units here have +1 [S]. (This includes attackers.),Riftbound Battlefield: Trifarian War Camp. Units here have +1 [S]. (This includes attackers.),
Veiled Temple,SFD-221/221,https://riftdecks.com/cards/details-veiled-temple,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, you may ready a friendly gear. If it's an Equipment, you may detach it.","Riftbound Battlefield: Veiled Temple. When you conquer here, you may ready a friendly gear. If it's an Equipment, you may detach it.",
Vilemaw's Lair,OGN-295/298,https://riftdecks.com/cards/details-vilemaws-lair,uncommon,colorless,,battlefield,,,,,,,,,,-,,Units can't move from here to base.,Riftbound Battlefield: Vilemaw's Lair. Units can't move from here to base.,
Void Gate,OGN-296/298,https://riftdecks.com/cards/details-void-gate,uncommon,colorless,,battlefield,,,,,,,,,,-,,Spells and abilities affecting units here each deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Riftbound Battlefield: Void Gate. Spells and abilities affecting units here each deal 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),
Windswept Hillock,OGN-297/298,https://riftdecks.com/cards/details-windswept-hillock,uncommon,colorless,,battlefield,,,,,,,,,,-,,Units here have [Ganking]. (They can move from battlefield to battlefield.),Riftbound Battlefield: Windswept Hillock. Units here have [Ganking]. (They can move from battlefield to battlefield.),
Zaun Warrens,OGN-298/298,https://riftdecks.com/cards/details-zaun-warrens,uncommon,colorless,,battlefield,,,,,,,,,,-,,"When you conquer here, discard 1, then draw 1.","Riftbound Battlefield: Zaun Warrens. When you conquer here, discard 1, then draw 1.",
Altar of Memories,SFD-169/221,https://riftdecks.com/cards/details-altar-of-memories,rare,order,,gear,,,,,,,2,2,,2,,"When a friendly unit dies, you may exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.","Riftbound Gear: Altar of Memories. When a friendly unit dies, you may exhaust me to draw 1, then put a card from your hand on the top or bottom of your Main Deck.",
Ancient Henge,SFD-117/221,https://riftdecks.com/cards/details-ancient-henge,epic,body,,gear,,,,,,,2,2,C,2C,,[T]: [Reaction] — Pay any amount of Energy to [Add] that much [A].  (Abilities that add resources can't be reacted to.) ,Riftbound Gear: Ancient Henge. [T]: [Reaction] — Pay any amount of Energy to [Add] that much [A]. (Abilities that add resources can't be reacted to.),
Arena Bar,OGN-124/298,https://riftdecks.com/cards/details-arena-bar,common,body,,gear,,,,,,,3,3,,3,,"[T]: Buff an exhausted friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)","Riftbound Gear: Arena Bar. [T]: Buff an exhausted friendly unit. (If it doesn't have a buff, it gets a +1 [S] buff.)",
Assembly Rig,SFD-019/221,https://riftdecks.com/cards/details-assembly-rig,rare,fury,,gear,,,,,,,4,4,,4,,"\[1]\[C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.","Riftbound Gear: Assembly Rig. [1][C], Recycle a unit from your trash, [T]: Play a 3 [S] Mech unit token to your base.",
B.F. Sword,SFD-161/221,https://riftdecks.com/cards/details-b-f-sword,uncommon,order,,gear,equipment,,,,,,4,4,,4,3,[Equip] [C] ([C]: Attach this to a unit you control.),Riftbound Gear: B.F. Sword. [Equip] [C] ([C]: Attach this to a unit you control.),
Baited Hook,OGN-242/298,https://riftdecks.com/cards/details-baited-hook,epic,order,,gear,,,,,,,3,3,,3,,"\[1]\[C], [T]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. You may play a unit from among them that has Might up to 1 more than the killed unit, ignoring its cost. Then recycle the rest.","Riftbound Gear: Baited Hook. [1][C], [T]: Kill a friendly unit. Look at the top 5 cards of your Main Deck. You may play a unit from among them that has Might up to 1 more than the killed unit, ignoring its cost. Then recycle the rest.",
Blade of the Ruined King,SFD-178/221,https://riftdecks.com/cards/details-blade-of-the-ruined-king,epic,order,,gear,equipment,,,,,,3,3,C,3C,4,"[Equip] — [C], Kill a friendly unit  (Pay the cost: Attach this to a unit you control.) ","Riftbound Gear: Blade of the Ruined King. [Equip] — [C], Kill a friendly unit (Pay the cost: Attach this to a unit you control.)",
Boneshiver,SFD-118/221,https://riftdecks.com/cards/details-boneshiver,epic,body,,gear,equipment,,,,,,3,3,,3,2,[Equip] \[1]\[C]  (\[1]\[C]: Attach this to a unit you control.) ,Riftbound Gear: Boneshiver. [Equip] [1][C] ([1][C]: Attach this to a unit you control.),
Boots of Swiftness,SFD-133/221,https://riftdecks.com/cards/details-boots-of-swiftness,uncommon,chaos,,gear,equipment,,,,,,3,3,,3,2,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Boots of Swiftness. [Equip] [C] ([C]: Attach this to a unit you control.),
Brutalizer,SFD-042/221,https://riftdecks.com/cards/details-brutalizer,uncommon,calm,,gear,equipment,,,,,,2,2,,2,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Brutalizer. [Equip] [C] ([C]: Attach this to a unit you control.),
Chemtech Cask,SFD-063/221,https://riftdecks.com/cards/details-chemtech-cask,common,mind,,gear,,,,,,,1,1,,1,,"When you play a spell on an opponent's turn, you may exhaust me to play a Gold gear token exhausted.","Riftbound Gear: Chemtech Cask. When you play a spell on an opponent's turn, you may exhaust me to play a Gold gear token exhausted.",
Cloth Armor,SFD-064/221,https://riftdecks.com/cards/details-cloth-armor,common,mind,,gear,equipment,,,,,,1,1,,1,,"[Quick-Draw]  (This has [Reaction]. When you play it, attach it to a unit you control.) 
[Equip] [C]  ([C]: Attach this to a unit you control.) ","Riftbound Gear: Cloth Armor. [Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)
[Equip] [C] ([C]: Attach this to a unit you control.)",
Cull,SFD-134/221,https://riftdecks.com/cards/details-cull,uncommon,chaos,,gear,equipment,,,,,,1,1,,1,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Cull. [Equip] [C] ([C]: Attach this to a unit you control.),
Dazzling Aurora,OGN-160/298,https://riftdecks.com/cards/details-dazzling-aurora,epic,body,,gear,,,,,,,9,9,CC,9CC,,"At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.","Riftbound Gear: Dazzling Aurora. At the end of your turn, reveal cards from the top of your Main Deck until you reveal a unit. Play it, ignoring its cost, and recycle the rest.",
Doran's Blade,SFD-095/221,https://riftdecks.com/cards/details-dorans-blade,common,body,,gear,equipment,,,,,,2,2,,2,2,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Doran's Blade. [Equip] [C] ([C]: Attach this to a unit you control.),
Doran's Ring,SFD-124/221,https://riftdecks.com/cards/details-dorans-ring,common,chaos,,gear,equipment,,,,,,1,1,,1,1,[Equip] [C]  ([C]: Attach this to a unit you control.),Riftbound Gear: Doran's Ring. [Equip] [C] ([C]: Attach this to a unit you control.),
Doran's Shield,SFD-033/221,https://riftdecks.com/cards/details-dorans-shield,common,calm,,gear,equipment,,,,,,1,1,,1,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Doran's Shield. [Equip] [C] ([C]: Attach this to a unit you control.),
Edge of Night,SFD-139/221,https://riftdecks.com/cards/details-edge-of-night,rare,chaos,,gear,equipment,,,,,,3,3,,3,2,"[Hidden]  (Hide now for [A] to react with later for [0].) 
When you play this from face down, attach it to a unit you control here.
[Equip] [C]  ([C]: Attach this to a unit you control.) ","Riftbound Gear: Edge of Night. [Hidden] (Hide now for [A] to react with later for [0].)
When you play this from face down, attach it to a unit you control here.
[Equip] [C] ([C]: Attach this to a unit you control.)",
Energy Conduit,OGN-098/298,https://riftdecks.com/cards/details-energy-conduit,uncommon,mind,,gear,,,,,,,3,3,,3,,[T]: [Reaction] — [Add] [1]. (Abilities that add resources can't be reacted to.),Riftbound Gear: Energy Conduit. [T]: [Reaction] — [Add] [1]. (Abilities that add resources can't be reacted to.),
Experimental Hexplate,SFD-073/221,https://riftdecks.com/cards/details-experimental-hexplate,uncommon,mind,,gear,equipment,,,,,,1,1,,1,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Experimental Hexplate. [Equip] [C] ([C]: Attach this to a unit you control.),
Eye of the Herald,SFD-153/221,https://riftdecks.com/cards/details-eye-of-the-herald,common,order,,gear,equipment,,,,,,1,1,,1,,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Eye of the Herald. [Equip] [C] ([C]: Attach this to a unit you control.),
Forge of the Future,OGN-212/298,https://riftdecks.com/cards/details-forge-of-the-future,common,order,,gear,,,,,,,2,2,,2,,"When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.","Riftbound Gear: Forge of the Future. When you play this, play a 1 [S] Recruit unit token at your base.
Kill this: Recycle up to 4 cards from trashes.",
Forgefire Cape,SFD-190/221,https://riftdecks.com/cards/details-forgefire-cape,epic,calm,mind,gear,ornn,equipment,,,,signature,4,4,CC,4CC,3,"[Unique]** ** (Your deck can have only 1 card with this name.) 
[Equip] [C]  ([C]: Attach this to a unit you control.) ",Riftbound Gear: Forgefire Cape. [Unique] (Your deck can have only 1 card with this name.)[Equip] [C] ([C]: Attach this to a unit you control.),
Garbage Grabber,OGN-099/298,https://riftdecks.com/cards/details-garbage-grabber,uncommon,mind,,gear,,,,,,,2,2,,2,,"Recycle 3 from your trash, [1], [T]: Draw 1.","Riftbound Gear: Garbage Grabber. Recycle 3 from your trash, [1], [T]: Draw 1.",
Gold,SFD-T03,https://riftdecks.com/cards/details-gold,common,colorless,,gear,,,,,,token,,,,-,,"Kill this, [T]: [Reaction] — [Add] [A].  (Abilities that add resources can't be reacted to.) ","Riftbound Gear: Gold. Kill this, [T]: [Reaction] — [Add] [A]. (Abilities that add resources can't be reacted to.)",
Guardian Angel,SFD-051/221,https://riftdecks.com/cards/details-guardian-angel,rare,calm,,gear,equipment,,,,,,2,2,,2,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Guardian Angel. [Equip] [C] ([C]: Attach this to a unit you control.),
Heart of Dark Ice,SFD-052/221,https://riftdecks.com/cards/details-heart-of-dark-ice,rare,calm,,gear,,,,,,,3,3,C,3C,,[T]: Give a unit +3 [S] this turn.,Riftbound Gear: Heart of Dark Ice. [T]: Give a unit +3 [S] this turn.,
Hexdrinker,SFD-102/221,https://riftdecks.com/cards/details-hexdrinker,uncommon,body,,gear,equipment,,,,,,2,2,,2,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Hexdrinker. [Equip] [C] ([C]: Attach this to a unit you control.),
Hextech Anomaly,SFD-083/221,https://riftdecks.com/cards/details-hextech-anomaly,rare,mind,,gear,,,,,,,3,3,C,3C,,[T]: [Reaction] — Pay any amount of [A] to [Add] that much Energy.  (Abilities that add resources can't be reacted to.) ,Riftbound Gear: Hextech Anomaly. [T]: [Reaction] — Pay any amount of [A] to [Add] that much Energy. (Abilities that add resources can't be reacted to.),
Iron Ballista,OGN-017/298,https://riftdecks.com/cards/details-iron-ballista,uncommon,fury,,gear,,,,,,,3,3,,3,,"This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.","Riftbound Gear: Iron Ballista. This enters exhausted.
[T]: Deal 2 to a unit at a battlefield.",
Last Rites,SFD-150/221,https://riftdecks.com/cards/details-last-rites,epic,chaos,,gear,equipment,,,,,,3,3,,3,2,"[Equip] — [C], Recycle 2 cards from your trash  (Pay the cost:** **Attach this to a unit you control.) ","Riftbound Gear: Last Rites. [Equip] — [C], Recycle 2 cards from your trash (Pay the cost: Attach this to a unit you control.)",
Long Sword,SFD-022/221,https://riftdecks.com/cards/details-long-sword,rare,fury,,gear,equipment,,,,,,2,2,C,2C,2,"[Quick-Draw]  (This has [Reaction]. When you play it, attach it to a unit you control.) 
[Equip] [C]  ([C]: Attach this to a unit you control.) ","Riftbound Gear: Long Sword. [Quick-Draw] (This has [Reaction]. When you play it, attach it to a unit you control.)
[Equip] [C] ([C]: Attach this to a unit you control.)",
Mask of Foresight,OGN-060/298,https://riftdecks.com/cards/details-mask-of-foresight,uncommon,calm,,gear,,,,,,,2,2,,2,,"When a friendly unit attacks or defends alone, give it +1 [S] this turn.","Riftbound Gear: Mask of Foresight. When a friendly unit attacks or defends alone, give it +1 [S] this turn.",
Mistfall,OGN-152/298,https://riftdecks.com/cards/details-mistfall,rare,body,,gear,,,,,,,3,3,,3,,"When you buff a friendly unit, you may pay [C] and exhaust this to ready it.","Riftbound Gear: Mistfall. When you buff a friendly unit, you may pay [C] and exhaust this to ready it.",
Mushroom Pouch,OGN-101/298,https://riftdecks.com/cards/details-mushroom-pouch,uncommon,mind,,gear,,,,,,,2,2,,2,,"At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.","Riftbound Gear: Mushroom Pouch. At the start of your Beginning Phase, if you control a facedown card at a battlefield, draw 1.",
Orb of Regret,OGN-090/298,https://riftdecks.com/cards/details-orb-of-regret,common,mind,,gear,,,,,,,1,1,,1,,"[T]: Give a unit -1 [S] this turn, to a minimum of 1 [S].","Riftbound Gear: Orb of Regret. [T]: Give a unit -1 [S] this turn, to a minimum of 1 [S].",
Pack of Wonders,OGN-181/298,https://riftdecks.com/cards/details-pack-of-wonders,uncommon,chaos,,gear,,,,,,,2,2,,2,,"[T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.","Riftbound Gear: Pack of Wonders. [T]: Return another friendly gear, unit, or [Hidden] card to its owner's hand.",
Petricite Monument,SFD-104/221,https://riftdecks.com/cards/details-petricite-monument,uncommon,body,,gear,,,,,,,2,2,,2,,"[Temporary]  (Kill this at the start of its controller's Beginning Phase, before scoring.) 
Friendly units have [Deflect].  (Opponents must pay [A] to choose them with a spell or ability.) ","Riftbound Gear: Petricite Monument. [Temporary] (Kill this at the start of its controller's Beginning Phase, before scoring.)
Friendly units have [Deflect]. (Opponents must pay [A] to choose them with a spell or ability.)",
Pirate's Haven,OGN-143/298,https://riftdecks.com/cards/details-pirates-haven,uncommon,body,,gear,,,,,,,3,3,,3,,"When you ready a friendly unit, give it +1 [S] this turn.","Riftbound Gear: Pirate's Haven. When you ready a friendly unit, give it +1 [S] this turn.",
Poro Snax,SFD-046/221,https://riftdecks.com/cards/details-poro-snax,uncommon,calm,,gear,,,,,,,1,1,C,1C,,"When you play this, draw 1.
\[1]\[C], [T], Kill this: Draw 1.","Riftbound Gear: Poro Snax. When you play this, draw 1.
[1][C], [T], Kill this: Draw 1.",
Rabadon's Deathcrown,SFD-191/221,https://riftdecks.com/cards/details-rabadons-deathcrown,epic,calm,mind,gear,ornn,equipment,,,,signature,4,4,CC,4CC,3,[Unique]** ** (Your deck can have only 1 card with this name.)  [Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Rabadon's Deathcrown. [Unique] (Your deck can have only 1 card with this name.) [Equip] [C] ([C]: Attach this to a unit you control.),
Ravenborn Tome,OGN-032/298,https://riftdecks.com/cards/details-ravenborn-tome,rare,fury,,gear,,,,,,,3,3,,3,,[T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),Riftbound Gear: Ravenborn Tome. [T]: The next spell you play deals 1 Bonus Damage. (Each instance of damage the spell deals is increased by 1.),
Recurve Bow,SFD-016/221,https://riftdecks.com/cards/details-recurve-bow,uncommon,fury,,gear,equipment,,,,,,2,2,,2,,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Recurve Bow. [Equip] [C] ([C]: Attach this to a unit you control.),
Sacred Shears,SFD-172/221,https://riftdecks.com/cards/details-sacred-shears,rare,order,,gear,equipment,,,,,,2,2,C,2C,1,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Sacred Shears. [Equip] [C] ([C]: Attach this to a unit you control.),
Scrapheap,OGN-182/298,https://riftdecks.com/cards/details-scrapheap,uncommon,chaos,,gear,,,,,,,2,2,,2,,"When this is played, discarded, or killed, draw 1.","Riftbound Gear: Scrapheap. When this is played, discarded, or killed, draw 1.",
Serrated Dirk,SFD-009/221,https://riftdecks.com/cards/details-serrated-dirk,common,fury,,gear,equipment,,,,,,1,1,,1,,[Equip] [C]  ([C]: Attach this to a unit you control.) ,Riftbound Gear: Serrated Dirk. [Equip] [C] ([C]: Attach this to a unit you control.),
Shurelya's Requiem,SFD-192/221,https://riftdecks.com/cards/details-shurelyas-requiem,epic,calm,mind,gear,ornn,equipment,,,,signature,4,4,CC,4CC,2,"[Unique]** ** (Your deck can have only 1 card with this name.)  [Equip] [C]  ([C]: Attach this to a unit you control.)  When you play this, ready your units.","Riftbound Gear: Shurelya's Requiem. [Unique] (Your deck can have only 1 card with this name.) [Equip] [C] ([C]: Attach this to a unit you control.) When you play this, ready your units.",
Skyfall of Areion,SFD-030/221,https://riftdecks.com/cards/details-skyfall-of-areion,epic,fury,,gear,equipment,,,,,,3,3,,3,2,[Equip] \[1]\[C]  (\[1]\[C]: Attach this to a unit you control.) ,Riftbound Gear: Skyfall of Areion. [Equip] [1][C] ([1][C]: Attach this to a unit you control.),
Solari Shrine,OGN-072/298,https://riftdecks.com/cards/details-solari-shrine,rare,calm,,gear,,,,,,,3,3,,3,,"When you kill a stunned enemy unit, you may exhaust this to draw 1.","Riftbound Gear: Solari Shrine. When you kill a stunned enemy unit, you may exhaust this to draw 1.",
